unidade,adm2_nome,papel,ano,area_primeira_deteccao_km2,n_pixels,selo,nivel_fonte,fonte,nota
tete_aoi,Cidade de Tete,tratada,1985,26.211755248071487,29157,observado,A,"DLR World Settlement Footprint Evolution (30 m, 1985-2015)","TAXA de primeira deteccao, nao estoque. O acumulado e monotonico por construcao (ADR 0008 emenda, ADR 0013): nenhuma contracao e detectavel nesta serie."
tete_aoi,Cidade de Tete,tratada,1986,0.0,0,observado,A,"DLR World Settlement Footprint Evolution (30 m, 1985-2015)","TAXA de primeira deteccao, nao estoque. O acumulado e monotonico por construcao (ADR 0008 emenda, ADR 0013): nenhuma contracao e detectavel nesta serie."
tete_aoi,Cidade de Tete,tratada,1987,0.0,0,observado,A,"DLR World Settlement Footprint Evolution (30 m, 1985-2015)","TAXA de primeira deteccao, nao estoque. O acumulado e monotonico por construcao (ADR 0008 emenda, ADR 0013): nenhuma contracao e detectavel nesta serie."
tete_aoi,Cidade de Tete,tratada,1988,0.0,0,observado,A,"DLR World Settlement Footprint Evolution (30 m, 1985-2015)","TAXA de primeira deteccao, nao estoque. O acumulado e monotonico por construcao (ADR 0008 emenda, ADR 0013): nenhuma contracao e detectavel nesta serie."
tete_aoi,Cidade de Tete,tratada,1989,1.497323981416203,1666,observado,A,"DLR World Settlement Footprint Evolution (30 m, 1985-2015)","TAXA de primeira deteccao, nao estoque. O acumulado e monotonico por construcao (ADR 0008 emenda, ADR 0013): nenhuma contracao e detectavel nesta serie."
tete_aoi,Cidade de Tete,tratada,1990,1.6372688260095751,1821,observado,A,"DLR World Settlement Footprint Evolution (30 m, 1985-2015)","TAXA de primeira deteccao, nao estoque. O acumulado e monotonico por construcao (ADR 0008 emenda, ADR 0013): nenhuma contracao e detectavel nesta serie."
tete_aoi,Cidade de Tete,tratada,1991,0.5237199705641535,583,observado,A,"DLR World Settlement Footprint Evolution (30 m, 1985-2015)","TAXA de primeira deteccao, nao estoque. O acumulado e monotonico por construcao (ADR 0008 emenda, ADR 0013): nenhuma contracao e detectavel nesta serie."
tete_aoi,Cidade de Tete,tratada,1992,0.13908628726457847,155,observado,A,"DLR World Settlement Footprint Evolution (30 m, 1985-2015)","TAXA de primeira deteccao, nao estoque. O acumulado e monotonico por construcao (ADR 0008 emenda, ADR 0013): nenhuma contracao e detectavel nesta serie."
tete_aoi,Cidade de Tete,tratada,1993,0.6499278978968266,723,observado,A,"DLR World Settlement Footprint Evolution (30 m, 1985-2015)","TAXA de primeira deteccao, nao estoque. O acumulado e monotonico por construcao (ADR 0008 emenda, ADR 0013): nenhuma contracao e detectavel nesta serie."
tete_aoi,Cidade de Tete,tratada,1994,0.3494328328190336,389,observado,A,"DLR World Settlement Footprint Evolution (30 m, 1985-2015)","TAXA de primeira deteccao, nao estoque. O acumulado e monotonico por construcao (ADR 0008 emenda, ADR 0013): nenhuma contracao e detectavel nesta serie."
tete_aoi,Cidade de Tete,tratada,1995,0.3434229315174777,382,observado,A,"DLR World Settlement Footprint Evolution (30 m, 1985-2015)","TAXA de primeira deteccao, nao estoque. O acumulado e monotonico por construcao (ADR 0008 emenda, ADR 0013): nenhuma contracao e detectavel nesta serie."
tete_aoi,Cidade de Tete,tratada,1996,0.9117878831789034,1014,observado,A,"DLR World Settlement Footprint Evolution (30 m, 1985-2015)","TAXA de primeira deteccao, nao estoque. O acumulado e monotonico por construcao (ADR 0008 emenda, ADR 0013): nenhuma contracao e detectavel nesta serie."
