unidade,adm2_nome,adm2_pcode,papel,ano,soma_radiancia,media_radiancia,max_radiancia,n_pixels,n_acesos,frac_acesos,soma_radiancia_adm2_int_recorte,cobertura_adm2_no_recorte,janela_homogenea,geometria,selo,nivel_fonte,fonte
tete_aoi,Cidade de Tete,MZ0501,tratada,2000,400.007399675902,0.03827089549137983,13.093880653381348,10452,151,0.014446995790279372,357.38153076171875,0.8453,False,recorte fixo (EMENDA E6); ADM2 apenas como sensibilidade,observado,A,"Chen, Z., Yu, B. et al. (2021) ESSD 13:889-906, DOI 10.5194/essd-13-889-2021; dataset Harvard Dataverse 10.7910/DVN/YGIVCD (CC0). ATENCAO: prefixo de arquivo 'viirs_like_li2020_' e heranca de erro; NAO e Li et al. 2020."
tete_aoi,Cidade de Tete,MZ0501,tratada,2005,410.59026644156984,0.03928341623053672,15.36005973815918,10452,273,0.026119402985074626,359.040283203125,0.8453,False,recorte fixo (EMENDA E6); ADM2 apenas como sensibilidade,observado,A,"Chen, Z., Yu, B. et al. (2021) ESSD 13:889-906, DOI 10.5194/essd-13-889-2021; dataset Harvard Dataverse 10.7910/DVN/YGIVCD (CC0). ATENCAO: prefixo de arquivo 'viirs_like_li2020_' e heranca de erro; NAO e Li et al. 2020."
tete_aoi,Cidade de Tete,MZ0501,tratada,2008,862.9313869890757,0.08256136500086832,18.0781192779541,10452,381,0.03645235361653272,773.7606201171875,0.8453,False,recorte fixo (EMENDA E6); ADM2 apenas como sensibilidade,observado,A,"Chen, Z., Yu, B. et al. (2021) ESSD 13:889-906, DOI 10.5194/essd-13-889-2021; dataset Harvard Dataverse 10.7910/DVN/YGIVCD (CC0). ATENCAO: prefixo de arquivo 'viirs_like_li2020_' e heranca de erro; NAO e Li et al. 2020."
tete_aoi,Cidade de Tete,MZ0501,tratada,2010,1739.8479936795652,0.16646077245307742,25.806880950927734,10452,782,0.07481821660926138,1210.9659423828125,0.8453,False,recorte fixo (EMENDA E6); ADM2 apenas como sensibilidade,observado,A,"Chen, Z., Yu, B. et al. (2021) ESSD 13:889-906, DOI 10.5194/essd-13-889-2021; dataset Harvard Dataverse 10.7910/DVN/YGIVCD (CC0). ATENCAO: prefixo de arquivo 'viirs_like_li2020_' e heranca de erro; NAO e Li et al. 2020."
tete_aoi,Cidade de Tete,MZ0501,tratada,2011,3640.6475503969996,0.3483206611554726,30.041263580322266,10452,1449,0.1386337543053961,1980.5885009765625,0.8453,False,recorte fixo (EMENDA E6); ADM2 apenas como sensibilidade,observado,A,"Chen, Z., Yu, B. et al. (2021) ESSD 13:889-906, DOI 10.5194/essd-13-889-2021; dataset Harvard Dataverse 10.7910/DVN/YGIVCD (CC0). ATENCAO: prefixo de arquivo 'viirs_like_li2020_' e heranca de erro; NAO e Li et al. 2020."
tete_aoi,Cidade de Tete,MZ0501,tratada,2012,4385.317268104409,0.4195672855055883,43.5068473815918,10452,1025,0.0980673555300421,2613.390625,0.8453,False,recorte fixo (EMENDA E6); ADM2 apenas como sensibilidade,observado,A,"Chen, Z., Yu, B. et al. (2021) ESSD 13:889-906, DOI 10.5194/essd-13-889-2021; dataset Harvard Dataverse 10.7910/DVN/YGIVCD (CC0). ATENCAO: prefixo de arquivo 'viirs_like_li2020_' e heranca de erro; NAO e Li et al. 2020."
tete_aoi,Cidade de Tete,MZ0501,tratada,2013,4199.878945827484,0.4018253870864413,48.75304412841797,10452,680,0.06505931879066207,2413.03369140625,0.8453,True,recorte fixo (EMENDA E6); ADM2 apenas como sensibilidade,observado,A,"Chen, Z., Yu, B. et al. (2021) ESSD 13:889-906, DOI 10.5194/essd-13-889-2021; dataset Harvard Dataverse 10.7910/DVN/YGIVCD (CC0). ATENCAO: prefixo de arquivo 'viirs_like_li2020_' e heranca de erro; NAO e Li et al. 2020."
tete_aoi,Cidade de Tete,MZ0501,tratada,2014,5168.962893128395,0.4945429480605047,73.3895492553711,10452,799,0.07644469957902794,2792.786376953125,0.8453,True,recorte fixo (EMENDA E6); ADM2 apenas como sensibilidade,observado,A,"Chen, Z., Yu, B. et al. (2021) ESSD 13:889-906, DOI 10.5194/essd-13-889-2021; dataset Harvard Dataverse 10.7910/DVN/YGIVCD (CC0). ATENCAO: prefixo de arquivo 'viirs_like_li2020_' e heranca de erro; NAO e Li et al. 2020."
tete_aoi,Cidade de Tete,MZ0501,tratada,2015,5894.01505279541,0.5639126533482023,61.96377944946289,10452,855,0.08180252583237659,3247.8974609375,0.8453,True,recorte fixo (EMENDA E6); ADM2 apenas como sensibilidade,observado,A,"Chen, Z., Yu, B. et al. (2021) ESSD 13:889-906, DOI 10.5194/essd-13-889-2021; dataset Harvard Dataverse 10.7910/DVN/YGIVCD (CC0). ATENCAO: prefixo de arquivo 'viirs_like_li2020_' e heranca de erro; NAO e Li et al. 2020."
tete_aoi,Cidade de Tete,MZ0501,tratada,2016,5597.993212819099,0.53559062503053,58.8369026184082,10452,873,0.08352468427095293,3016.395263671875,0.8453,True,recorte fixo (EMENDA E6); ADM2 apenas como sensibilidade,observado,A,"Chen, Z., Yu, B. et al. (2021) ESSD 13:889-906, DOI 10.5194/essd-13-889-2021; dataset Harvard Dataverse 10.7910/DVN/YGIVCD (CC0). ATENCAO: prefixo de arquivo 'viirs_like_li2020_' e heranca de erro; NAO e Li et al. 2020."
tete_aoi,Cidade de Tete,MZ0501,tratada,2017,6312.8714327812195,0.6039869338673192,60.64500045776367,10452,1027,0.09825870646766169,3533.70068359375,0.8453,True,recorte fixo (EMENDA E6); ADM2 apenas como sensibilidade,observado,A,"Chen, Z., Yu, B. et al. (2021) ESSD 13:889-906, DOI 10.5194/essd-13-889-2021; dataset Harvard Dataverse 10.7910/DVN/YGIVCD (CC0). ATENCAO: prefixo de arquivo 'viirs_like_li2020_' e heranca de erro; NAO e Li et al. 2020."
tete_aoi,Cidade de Tete,MZ0501,tratada,2018,7197.740010976791,0.6886471499212391,60.470001220703125,10452,1193,0.11414083429008802,3849.650390625,0.8453,True,recorte fixo (EMENDA E6); ADM2 apenas como sensibilidade,observado,A,"Chen, Z., Yu, B. et al. (2021) ESSD 13:889-906, DOI 10.5194/essd-13-889-2021; dataset Harvard Dataverse 10.7910/DVN/YGIVCD (CC0). ATENCAO: prefixo de arquivo 'viirs_like_li2020_' e heranca de erro; NAO e Li et al. 2020."
tete_aoi,Cidade de Tete,MZ0501,tratada,2019,7334.804988980293,0.7017609059491287,68.93000030517578,10452,1176,0.11251435132032148,3885.750244140625,0.8453,True,recorte fixo (EMENDA E6); ADM2 apenas como sensibilidade,observado,A,"Chen, Z., Yu, B. et al. (2021) ESSD 13:889-906, DOI 10.5194/essd-13-889-2021; dataset Harvard Dataverse 10.7910/DVN/YGIVCD (CC0). ATENCAO: prefixo de arquivo 'viirs_like_li2020_' e heranca de erro; NAO e Li et al. 2020."
tete_aoi,Cidade de Tete,MZ0501,tratada,2020,7664.6649878025055,0.733320415978043,70.38999938964844,10452,1322,0.12648296976655185,3935.94482421875,0.8453,True,recorte fixo (EMENDA E6); ADM2 apenas como sensibilidade,observado,A,"Chen, Z., Yu, B. et al. (2021) ESSD 13:889-906, DOI 10.5194/essd-13-889-2021; dataset Harvard Dataverse 10.7910/DVN/YGIVCD (CC0). ATENCAO: prefixo de arquivo 'viirs_like_li2020_' e heranca de erro; NAO e Li et al. 2020."
